,confirm_count,death_count,death_rate
1/22/20,1,0.0,0.0
1/23/20,1,0.0,0.0
1/24/20,1,0.0,0.0
1/25/20,1,0.0,0.0
1/26/20,1,0.0,0.0
1/27/20,1,0.0,0.0
1/28/20,1,0.0,0.0
1/29/20,1,0.0,0.0
1/30/20,1,0.0,0.0
1/31/20,1,0.0,0.0
2/1/20,1,0.0,0.0
2/2/20,1,0.0,0.0
2/3/20,1,0.0,0.0
2/4/20,1,0.0,0.0
2/5/20,1,0.0,0.0
2/6/20,1,0.0,0.0
2/7/20,1,0.0,0.0
2/8/20,1,0.0,0.0
2/9/20,1,0.0,0.0
2/10/20,1,0.0,0.0
2/11/20,1,0.0,0.0
2/12/20,1,0.0,0.0
2/13/20,1,0.0,0.0
2/14/20,1,0.0,0.0
2/15/20,1,0.0,0.0
2/16/20,1,0.0,0.0
2/17/20,1,0.0,0.0
2/18/20,1,0.0,0.0
2/19/20,1,0.0,0.0
2/20/20,1,0.0,0.0
2/21/20,1,0.0,0.0
2/22/20,1,0.0,0.0
2/23/20,1,0.0,0.0
2/24/20,1,0.0,0.0
2/25/20,1,0.0,0.0
2/26/20,1,0.0,0.0
2/27/20,1,0.0,0.0
2/28/20,1,0.0,0.0
2/29/20,7,1.0,1.3131976362442546e-07
3/1/20,11,1.0,1.3131976362442546e-07
3/2/20,18,6.0,7.879185817465529e-07
3/3/20,27,7.0,9.192383453709783e-07
3/4/20,39,10.0,1.3131976362442547e-06
3/5/20,70,11.0,1.4445173998686802e-06
3/6/20,78,13.0,1.7071569271175312e-06
3/7/20,102,16.0,2.1011162179908074e-06
3/8/20,122,18.0,2.3637557452396587e-06
3/9/20,122,19.0,2.495075508864084e-06
3/10/20,167,23.0,3.020354563361786e-06
3/11/20,282,24.0,3.1516743269862116e-06
3/12/20,442,31.0,4.07091267235719e-06
3/13/20,568,37.0,4.858831254103743e-06
3/14/20,642,39.0,5.121470781352593e-06
3/15/20,603,40.0,5.252790544977019e-06
3/16/20,779,48.0,6.303348653972423e-06
3/17/20,955,55.0,7.222586999343401e-06
3/18/20,1022,67.0,8.798424162836507e-06
3/19/20,1374,73.0,9.58634274458306e-06
3/20/20,1524,83.0,1.0899540380827315e-05
3/21/20,1793,94.0,1.2344057780695995e-05
3/22/20,1997,97.0,1.2738017071569272e-05
3/23/20,2221,109.0,1.4313854235062378e-05
3/24/20,2328,116.0,1.5233092580433355e-05
3/25/20,2591,133.0,1.7465528562048587e-05
3/26/20,3207,150.0,1.9697964543663823e-05
3/27/20,3477,157.0,2.06172028890348e-05
3/28/20,4030,188.0,2.468811556139199e-05
3/29/20,4465,198.0,2.6001313197636243e-05
3/30/20,4923,205.0,2.6920551543007222e-05
3/31/20,5432,225.0,2.954694681549573e-05
4/1/20,5608,234.0,3.072882468811556e-05
4/2/20,6389,271.0,3.5587655942219306e-05
4/3/20,6846,291.0,3.821405121470781e-05
4/4/20,7247,315.0,4.136572554169403e-05
4/5/20,7825,336.0,4.412344057780696e-05
4/6/20,8311,381.0,5.0032829940906105e-05
4/7/20,8692,400.0,5.252790544977019e-05
4/8/20,9276,426.0,5.5942219304005254e-05
4/9/20,9639,456.0,5.9881812212738016e-05
4/10/20,10119,483.0,6.342744583059751e-05
4/11/20,10434,495.0,6.50032829940906e-05
4/12/20,10609,506.0,6.644780039395929e-05
4/13/20,10635,513.0,6.736703873933027e-05
4/14/20,10799,530.0,6.95994747209455e-05
4/15/20,10942,552.0,7.248850952068286e-05
4/16/20,11057,579.0,7.603414313854234e-05
